Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 67.0.3396.99,,2018-07-24 15:05:43,2018-07-24 15:06:14,30.742s,FAILED
,,,,,,
Test Cases/Login/Testcase1,Chrome 67.0.3396.99,,2018-07-24 15:05:44,2018-07-24 15:06:13,29.833s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:05:44,2018-07-24 15:06:08,23.949s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:06:08,2018-07-24 15:06:09,0.728s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:06:09,2018-07-24 15:06:09,0.532s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:06:09,2018-07-24 15:06:09,0.144s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:06:09,2018-07-24 15:06:10,0.278s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:06:10,2018-07-24 15:06:11,1.106s,PASSED
acceptAlert,Chrome 67.0.3396.99,,2018-07-24 15:06:11,2018-07-24 15:06:11,0.629s,FAILED
