Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite3,Chrome 67.0.3396.99,,2018-07-26 12:54:09,2018-07-26 12:54:47,38.287s,PASSED
,,,,,,
Test Cases/test2,Chrome 67.0.3396.99,,2018-07-26 12:54:09,2018-07-26 12:54:47,37.385s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 12:54:10,2018-07-26 12:54:34,24.136s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 12:54:34,2018-07-26 12:54:39,4.757s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:39,2018-07-26 12:54:39,0.116s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 12:54:39,2018-07-26 12:54:39,0.111s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 12:54:39,2018-07-26 12:54:39,0.268s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:39,2018-07-26 12:54:43,4.132s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:43,2018-07-26 12:54:45,1.404s,PASSED
